FCS Filename,% of CD20+ in Grans -,% of NK cells in Grans -,% of monocytes in Grans -,% of T lymphocytes in Grans -,% of DC1 in Grans -,% of intermediate monocytes in Grans -,% of intermediate monocytes in monocytes,% of Non classical monocytes in Grans -,% of Non classical monocytes in monocytes,% of Claasical monocytes in Grans -,% of Claasical monocytes in monocytes,% of intermediate monocytes in Grans -,% of intermediate monocytes in monocytes,% of gd T cells in Grans -,% of NK T cells in Grans -,% of CD4 T cells in T lymphocytes,% of CD8 T cells in T lymphocytes,% of CD4 CD8 DP in T lymphocytes,% of Naïve CD8  in CD8 T cells,% of Central memory CD8  T cells,% of CD8 effector memory T cells,% of EMRA CD8 T cells,% of Naïve CD4 in CD4 T cells,% of Central memory CD4  T cells,% of effector memory CD4   T cells,% of EMRA CD4  T cells,% of cDC in Grans -,% of pDC in Grans -
Norm_HR11V0_R1.fcs_Live.fcs,8.1753,9.2508,13.9044,60.3623,2.0055,0.2893,2.0804,0.8193,5.8922,9.3265,67.0762,0.2893,2.0804,5.7097,0.0194,56.9857,32.3106,0.64,34.7601,2.0108,23.3526,39.8766,39.3611,22.6944,33.6833,4.2612,0.2233,0.1281
Norm_HR11V0_R2.fcs_Live.fcs,3.3003,8.7433,26.6063,55.1224,2.0172,0.7591,2.8531,4.3384,16.3058,15.3808,57.809,0.7591,2.8531,2.9313,0.0491,43.4313,46.5737,1.779,34.0156,3.0747,25.0096,37.9002,35.0051,27.9213,33.2144,3.8593,0.2397,0.2208
Norm_HR21V2_R1.fcs_Live.fcs,6.3762,8.4084,14.6264,64.959,1.6857,0.2426,1.6583,1.4367,9.8225,9.4354,64.5092,0.2426,1.6583,2.3753,0.0316,49.1289,47.0983,0.6344,25.6801,6.6739,28.329,39.317,28.1774,41.2659,29.756,0.8007,0.1955,0.0933
Norm_HR26V2_R1.fcs_Live.fcs,6.0086,14.1295,18.8306,48.0639,12.7354,0.3254,1.7281,0.7615,4.0442,12.0181,63.8223,0.3254,1.7281,3.2137,0.0472,50.1913,32.2116,0.4327,7.4063,4.6763,49.916,38.0014,28.7385,29.6883,40.1125,1.4607,1.6685,0.2185
Norm_HR26V3_R1.fcs_Live.fcs,10.6293,19.237,13.9713,43.6257,12.9932,0.2445,1.7503,0.5543,3.9673,9.8468,70.4784,0.2445,1.7503,4.2224,0.1956,46.3378,32.6607,0.5232,9.9542,5.2632,50.3432,34.4394,37.9839,25.5645,35.4032,1.0484,0.9455,0.163
Norm_HR28V2_R1.fcs_Live.fcs,2.3087,2.6892,20.1643,68.2356,2.2746,0.1878,0.9312,0.3276,1.6249,13.9894,69.3769,0.1878,0.9312,2.8669,0.0781,46.2186,49.7664,0.3232,37.0505,4.1674,21.9876,36.7944,57.3124,26.7921,14.1053,1.7901,0.2898,0.1878
Norm_HR28V3_R1.fcs_Live.fcs,1.7094,3.9325,20.5419,66.4679,2.6681,0.3043,1.4812,0.8685,4.2278,13.5804,66.1109,0.3043,1.4812,3.3439,0.0642,41.5486,52.7213,0.352,27.3049,2.5437,23.666,46.4854,55.3372,24.1225,17.6337,2.9067,0.2553,0.1651
Norm_HR29V3_R1.fcs_Live.fcs,12.3192,5.27,20.8522,58.5274,0.7513,0.3794,1.8193,0.7905,3.791,14.9523,71.7064,0.3794,1.8193,0.9494,0.1551,38.3741,57.7655,0.3417,51.0198,2.1005,7.2356,39.644,72.1085,15.352,11.1333,1.4062,0.0953,0.0729
Norm_HR30V2_R1.fcs_Live.fcs,4.5485,4.1032,22.9273,64.3231,0.9201,0.7129,3.1095,1.9713,8.5981,15.2768,66.6315,0.7129,3.1095,1.431,0.2192,40.4637,56.6889,0.4562,38.8184,2.1918,8.8288,50.161,50.5306,29.7254,18.1456,1.5984,0.1053,0.1623
Norm_HR30V3_R1.fcs_Live.fcs,4.994,8.0707,21.2426,61.1244,1.8764,0.3014,1.4187,1.7963,8.4562,15.6085,73.4771,0.3014,1.4187,1.5767,0.0988,53.1519,43.5137,1.5878,5.2685,8.1173,51.9621,34.6521,31.6283,46.638,20.8899,0.8438,0.2843,0.0426
Norm_HR31V3_R1.fcs_Live.fcs,20.0655,9.771,17.7131,47.8249,2.955,0.2213,1.2493,1.7937,10.1265,12.2789,69.321,0.2213,1.2493,0.5784,0.0252,9.4686,87.3413,2.0145,1.7035,6.9969,58.5722,32.7275,18.0373,23.7187,50.9932,7.2507,0.7421,0.0378
Norm_HR32V2_R1.fcs_Live.fcs,12.8788,9.7523,29.6854,30.3779,1.5063,1.472,4.9586,4.0325,13.5843,20.4394,68.8536,1.472,4.9586,14.5208,0.0127,46.2289,43.6455,0.25,30.9738,6.9285,11.8249,50.2728,69.0961,23.796,6.8504,0.2575,0.2116,0.1266
Norm_HR32V3_R1.fcs_Live.fcs,2.8687,2.2089,16.2792,70.648,1.2114,0.4335,2.6631,1.8674,11.4712,10.9148,67.0477,0.4335,2.6631,5.6118,0.0739,32.5527,62.6278,0.9259,6.7135,2.9178,16.089,74.2798,33.5182,24.2139,36.4209,5.847,0.1803,0.0451
Norm_HR33V2_R1.fcs_Live.fcs,3.2853,2.692,22.8037,62.3642,1.1564,0.986,4.3237,2.9561,12.9632,13.5678,59.4984,0.986,4.3237,6.5011,0.0491,41.4513,53.3236,0.9114,6.9573,2.5248,15.0228,75.495,42.9863,26.3392,26.2736,4.4008,0.2043,0.05
Norm_HR33V3_R1.fcs_Live.fcs,8.1476,5.9968,22.8618,56.5882,1.4927,0.4,1.7497,0.6269,2.742,17.3031,75.6855,0.4,1.7497,3.7197,0.0277,59.1652,33.775,0.9089,24.6263,2.7363,27.5075,45.13,40.1521,22.313,33.1592,4.3757,0.1801,0.0589
Norm_HR36V2_R2.fcs_Live.fcs,4.9672,3.9338,58.5219,25.3847,5.2915,0.1792,0.3061,0.8184,1.3985,38.4061,65.6269,0.1792,0.3061,2.8212,0.017,52.2621,36.7803,0.728,24.7829,4.6657,41.5674,28.984,22.3454,32.1109,42.8571,2.6866,1.6199,0.5771
Norm_HR36V3_R2.fcs_Live.fcs,3.7434,4.15,58.8583,23.5911,2.8712,0.508,0.8631,0.8965,1.5232,45.3522,77.0533,0.508,0.8631,4.7225,0.0322,48.6332,40.076,0.8201,18.4412,3.843,45.5914,32.1244,25.7386,33.018,39.6737,1.5697,0.6968,0.2013
Norm_HR37V2_R2.fcs_Live.fcs,8.7918,3.797,26.9138,56.648,2.418,0.7369,2.7378,1.8697,6.9468,15.0357,55.8661,0.7369,2.7378,2.6255,0.0577,51.9989,40.1089,2.8897,12.9724,8.0462,35.7058,43.2756,16.9198,26.5126,50.3889,6.1788,1.2708,0.1687
Norm_HR37V3_R2.fcs_Live.fcs,5.3332,5.3621,27.9528,56.7225,3.0796,0.4943,1.7683,2.5717,9.2002,13.6873,48.9655,0.4943,1.7683,1.8389,0.0352,52.6588,39.5861,3.0396,9.5094,6.0083,34.6654,49.8169,15.4803,25.6905,52.2644,6.5648,0.834,0.3443
Norm_HR39V2_R2.fcs_Live.fcs,8.903,3.5709,27.9163,55.9812,2.3222,0.6729,2.4105,3.7992,13.6092,13.1972,47.2742,0.6729,2.4105,1.9051,0.1274,48.8258,48.061,1.4493,12.7611,4.2185,34.6543,48.3661,25.8335,25.2432,44.9118,4.0115,0.6436,0.6005
Norm_HR39V3_R2.fcs_Live.fcs,8.0202,2.7054,27.194,59.178,2.4385,0.4949,1.8199,3.0163,11.0919,11.0596,40.6691,0.4949,1.8199,1.4147,0.086,53.6619,43.8614,1.1522,20.9576,5.5273,37.8977,35.6174,29.2101,26.9559,40.437,3.397,0.7278,0.6619
Norm_HR40V2_R2.fcs_Live.fcs,9.3142,3.208,16.4174,60.1438,11.6606,0.1745,1.0627,0.527,3.2097,5.8641,35.7189,0.1745,1.0627,1.4598,0.0979,46.2586,43.9054,0.9413,30.9782,2.1371,35.3064,31.5782,33.2416,16.9311,40.2611,9.5662,3.5,0.7904
Norm_HR40V3_R2.fcs_Live.fcs,6.1205,8.6343,19.3328,60.8867,6.2502,0.752,3.89,1.0253,5.3032,11.573,59.862,0.752,3.89,3.3846,0.1288,51.8144,40.5991,1.7094,21.9799,2.5211,45.6491,29.8499,27.58,18.6531,48.3389,5.428,2.4242,0.3783
Norm_HR42V2_R2.fcs_Live.fcs,3.9445,11.5074,18.5328,60.6632,3.7955,0.3735,2.0154,1.3882,7.4907,7.7464,41.7987,0.3735,2.0154,1.8546,0.0561,11.8229,82.8671,0.1174,1.8468,0.4896,53.1524,44.5113,23.2691,5.9603,41.5412,29.2294,0.5916,0.4145
Norm_HR42V3_R2.fcs_Live.fcs,4.3922,10.4588,20.0999,60.1267,2.9356,0.4604,2.2907,1.1832,5.8864,11.4661,57.0457,0.4604,2.2907,1.8836,0.1032,32.9234,62.7001,0.1392,9.5189,1.658,40.4367,48.3864,31.9284,29.8562,31.435,6.7804,0.2986,0.2232
Norm_HR42V3_R2_Live-(1).fcs,4.5481,10.038,20.2985,59.0954,4.0351,0.2578,1.2699,1.3327,6.5656,11.4094,56.2079,0.2578,1.2699,1.6558,0.0748,32.3305,62.6923,0.1483,10.3233,2.1175,44.3316,43.2276,31.5673,26.9935,34.0769,7.3623,0.4391,0.3102
Norm_HR43V3_R2.fcs_Live.fcs,3.9194,6.2947,32.3104,54.0903,4.1059,0.5316,1.6453,1.95,6.0352,20.8062,64.3947,0.5316,1.6453,0.6902,0.054,53.4787,44.239,0.6864,47.8684,4.4184,15.9879,31.7254,52.4532,33.942,11.63,1.9748,1.2775,0.4244
Norm_HR44V2_R2.fcs_Live.fcs,5.4422,2.5824,45.0801,41.9438,2.1273,0.7421,1.6461,4.0329,8.9461,23.5274,52.1902,0.7421,1.6461,3.2764,0.0317,22.1917,74.0296,0.8812,9.3832,2.1549,15.2234,73.2385,28.7954,26.8564,33.5912,10.757,0.7056,0.4627
Norm_HR44V3_R2.fcs_Live.fcs,7.3362,2.9859,32.2635,51.2693,1.0624,1.1463,3.5529,3.5283,10.9359,18.2398,56.5338,1.1463,3.5529,4.0204,0.1677,22.5434,73.5849,0.8725,4.9948,0.8152,12.4055,81.7845,23.5123,22.061,38.3164,16.1103,0.1733,0.1398
Norm_HR44V3_R2_Live-(1).fcs,7.4973,3.1458,32.0232,51.0116,1.7752,0.8349,2.6071,3.5908,11.2132,18.7,58.3951,0.8349,2.6071,3.9732,0.0824,22.5992,73.5783,0.8159,6.0076,0.9596,15.8623,77.1705,21.2253,21.5613,41.6357,15.5776,0.3511,0.2225
Norm_HR46V2_R2.fcs_Live.fcs,2.7438,5.8636,45.0365,42.4933,6.4539,1.3294,2.9517,4.4203,9.815,28.5745,63.4473,1.3294,2.9517,0.5826,0.0509,47.3516,50.1028,0.6954,35.8975,3.5038,22.7102,37.8885,42.7779,33.3132,20.5678,3.3411,2.2386,0.8318
